Date,Open,High,Low,Close,Adj Close,Volume
1962-04-02,0.000000,0.639160,0.632604,0.637521,0.097731,228816
1962-04-03,0.000000,0.635882,0.619493,0.622771,0.095470,205934
1962-04-04,0.000000,0.627688,0.606382,0.608021,0.093209,320342
1962-04-05,0.000000,0.611299,0.589994,0.609660,0.093460,488141
1962-04-06,0.000000,0.606382,0.589994,0.589994,0.090445,175426
1962-04-09,0.000000,0.606382,0.589994,0.589994,0.090445,175426
1962-04-10,0.000000,0.596549,0.585077,0.589994,0.090445,228816
1962-04-11,0.000000,0.601466,0.586716,0.594910,0.091199,442378
1962-04-12,0.000000,0.594910,0.581799,0.589994,0.090445,266952
1962-04-13,0.000000,0.609660,0.589994,0.609660,0.093460,327970
1962-04-16,0.000000,0.609660,0.599827,0.601466,0.092204,282206
1962-04-17,0.000000,0.603105,0.599827,0.599827,0.091952,99154
1962-04-18,0.000000,0.616216,0.604744,0.608021,0.093209,152544
1962-04-19,0.000000,0.611299,0.603105,0.611299,0.093711,122035
1962-04-23,0.000000,0.626049,0.606382,0.626049,0.095972,358478
1962-04-24,0.000000,0.635882,0.622771,0.627688,0.096224,282206
1962-04-25,0.000000,0.622771,0.596549,0.599827,0.091952,274579
1962-04-26,0.000000,0.614577,0.603105,0.603105,0.092455,129662
1962-04-27,0.000000,0.612938,0.599827,0.603105,0.092455,198307
1962-04-30,0.000000,0.599827,0.586716,0.589994,0.090445,358478
1962-05-01,0.000000,0.598188,0.581799,0.598188,0.091701,244070
1962-05-02,0.000000,0.622771,0.601466,0.619493,0.094967,488141
1962-05-03,0.000000,0.622771,0.609660,0.622771,0.095470,228816
1962-05-04,0.000000,0.616216,0.608021,0.616216,0.094465,259325
1962-05-07,0.000000,0.617855,0.612938,0.612938,0.093962,343224
1962-05-08,0.000000,0.626049,0.614577,0.624410,0.095721,572040
1962-05-09,0.000000,0.622771,0.611299,0.616216,0.094465,419496
1962-05-10,0.000000,0.616216,0.606382,0.608021,0.093209,320342
1962-05-11,0.000000,0.612938,0.596549,0.596549,0.091450,335597
1962-05-14,0.000000,0.614577,0.586716,0.614577,0.095260,511022
1962-05-15,0.000000,0.629327,0.616216,0.619493,0.096022,480514
1962-05-16,0.000000,0.627688,0.619493,0.621132,0.096276,266952
1962-05-17,0.000000,0.627688,0.603105,0.617855,0.095768,411869
1962-05-18,0.000000,0.637521,0.617855,0.634243,0.098309,640685
1962-05-21,0.000000,0.639160,0.622771,0.629327,0.097547,228816
1962-05-22,0.000000,0.627688,0.612938,0.616216,0.095514,228816
1962-05-23,0.000000,0.616216,0.598188,0.599827,0.092974,396614
1962-05-24,0.000000,0.609660,0.598188,0.598188,0.092720,427123
1962-05-25,0.000000,0.609660,0.596549,0.603105,0.093482,480514
1962-05-28,0.000000,0.609660,0.517883,0.517883,0.080273,1212725
1962-05-29,0.000000,0.585077,0.512967,0.563772,0.087386,1426286
1962-05-31,0.000000,0.603105,0.586716,0.603105,0.093482,1533067
1962-06-01,0.000000,0.593271,0.567050,0.593271,0.091958,724584
1962-06-04,0.000000,0.593271,0.573605,0.576883,0.089418,564413
1962-06-05,0.000000,0.576883,0.557216,0.576883,0.089418,587294
1962-06-06,0.000000,0.593271,0.576883,0.576883,0.089418,617803
1962-06-07,0.000000,0.575244,0.567050,0.567050,0.087894,175426
1962-06-08,0.000000,0.571966,0.560494,0.565411,0.087640,213562
1962-06-11,0.000000,0.567050,0.544105,0.553939,0.085861,671194
1962-06-12,0.000000,0.552300,0.535911,0.535911,0.083067,587294
1962-06-13,0.000000,0.549022,0.534272,0.534272,0.082813,472886
1962-06-14,0.000000,0.549022,0.535911,0.537550,0.083321,480514
1962-06-15,0.000000,0.547383,0.524439,0.547383,0.084845,617803
1962-06-18,0.000000,0.563772,0.552300,0.557216,0.086369,320342
1962-06-19,0.000000,0.560494,0.545744,0.557216,0.086369,274579
1962-06-20,0.000000,0.563772,0.534272,0.534272,0.082813,251698
1962-06-21,0.000000,0.534272,0.519522,0.524439,0.081289,335597
1962-06-22,0.000000,0.535911,0.512967,0.512967,0.079511,434750
1962-06-25,0.000000,0.527717,0.501495,0.517883,0.080273,556786
1962-06-26,0.000000,0.544105,0.527717,0.527717,0.081797,343224
1962-06-27,0.000000,0.534272,0.522800,0.534272,0.082813,167798
1962-06-28,0.000000,0.557216,0.542466,0.557216,0.086369,533904
1962-06-29,0.000000,0.568688,0.560494,0.563772,0.087386,388987
1962-07-02,0.000000,0.568688,0.557216,0.565411,0.087640,221189
1962-07-03,0.000000,0.573605,0.562133,0.568688,0.088147,251698
1962-07-05,0.000000,0.570327,0.565411,0.568688,0.088147,144917
1962-07-06,0.000000,0.567050,0.550661,0.552300,0.085607,175426
1962-07-09,0.000000,0.558855,0.545744,0.557216,0.086369,106781
1962-07-10,0.000000,0.583438,0.565411,0.575244,0.089164,678821
1962-07-11,0.000000,0.583438,0.565411,0.583438,0.090434,251698
1962-07-12,0.000000,0.588355,0.573605,0.573605,0.088910,198307
1962-07-13,0.000000,0.578522,0.567050,0.573605,0.088910,244070
1962-07-16,0.000000,0.576883,0.568688,0.573605,0.088910,106781
1962-07-17,0.000000,0.581799,0.576883,0.576883,0.089418,259325
1962-07-18,0.000000,0.570327,0.563772,0.563772,0.087386,144917
1962-07-19,0.000000,0.570327,0.563772,0.567050,0.087894,68645
1962-07-20,0.000000,0.575244,0.570327,0.571966,0.088656,76272
1962-07-23,0.000000,0.576883,0.567050,0.568688,0.088147,251698
1962-07-24,0.000000,0.575244,0.567050,0.567050,0.087894,144917
1962-07-25,0.000000,0.563772,0.560494,0.562133,0.087131,91526
1962-07-26,0.000000,0.567050,0.560494,0.562133,0.087131,99154
1962-07-27,0.000000,0.576883,0.553939,0.570327,0.088402,251698
1962-07-30,0.000000,0.580160,0.576883,0.578522,0.089672,68645
1962-07-31,0.000000,0.593271,0.573605,0.589994,0.091450,282206
1962-08-01,0.000000,0.589994,0.578522,0.581799,0.090180,373733
1962-08-02,0.000000,0.593271,0.585077,0.593271,0.091958,411869
1962-08-03,0.000000,0.599827,0.588355,0.599827,0.092974,373733
1962-08-06,0.000000,0.606382,0.599827,0.603105,0.093482,457632
